slide_id,hashed_id,src_path,dst_path
CMU-1,ee2e33d07e004652c900ebda77a80e397df7a0271720afdc0deb72a1fb94399c,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/CMU-1.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/ee2e33d07e004652c900ebda77a80e397df7a0271720afdc0deb72a1fb94399c.svs
CMU-2,4f620fbadd4f909fbd96e26964cd339d10f4b564a1b66571476ff552de335358,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/CMU-2.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/4f620fbadd4f909fbd96e26964cd339d10f4b564a1b66571476ff552de335358.svs
CMU-3,b62e10d19f3868c0e7798001a4df27deda35acd3a3c3ca652439bf8aed171166,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/CMU-3.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/b62e10d19f3868c0e7798001a4df27deda35acd3a3c3ca652439bf8aed171166.svs
GP23-012345A123,d659c9234f7bfa495dbb18589a22addde76ab0e1aee33373924d608dfbe95363,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/GP23-012345A123.tif,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/d659c9234f7bfa495dbb18589a22addde76ab0e1aee33373924d608dfbe95363.tif
GP23-012346DH&E2023-11-30_14_08_54,14ee81cb6f0f7215acb7792759cea6cae653714fbbea1343a98ffc8a0fd49409,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/GP23-012346DH&E2023-11-30_14_08_54.tif,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/14ee81cb6f0f7215acb7792759cea6cae653714fbbea1343a98ffc8a0fd49409.tif
JP2K-33003-1,5dfeb8f3e95c09008d34d93d60a024b636a12ffeb48b8379b54b0a0b5b229066,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/JP2K-33003-1.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/5dfeb8f3e95c09008d34d93d60a024b636a12ffeb48b8379b54b0a0b5b229066.svs
JP2K-33003-2,34616d5e75a361daf4ddc310db6054aa3aed37b606a9cc1d9f2adb65e3b741ab,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/JP2K-33003-2.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/34616d5e75a361daf4ddc310db6054aa3aed37b606a9cc1d9f2adb65e3b741ab.svs
CMU-1,ee2e33d07e004652c900ebda77a80e397df7a0271720afdc0deb72a1fb94399c,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/CMU-1.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/ee2e33d07e004652c900ebda77a80e397df7a0271720afdc0deb72a1fb94399c.svs
CMU-2,4f620fbadd4f909fbd96e26964cd339d10f4b564a1b66571476ff552de335358,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/CMU-2.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/4f620fbadd4f909fbd96e26964cd339d10f4b564a1b66571476ff552de335358.svs
CMU-3,b62e10d19f3868c0e7798001a4df27deda35acd3a3c3ca652439bf8aed171166,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/CMU-3.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/b62e10d19f3868c0e7798001a4df27deda35acd3a3c3ca652439bf8aed171166.svs
GP23-012345A123,d659c9234f7bfa495dbb18589a22addde76ab0e1aee33373924d608dfbe95363,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/GP23-012345A123.tif,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/d659c9234f7bfa495dbb18589a22addde76ab0e1aee33373924d608dfbe95363.tif
GP23-012346DH&E2023-11-30_14_08_54,14ee81cb6f0f7215acb7792759cea6cae653714fbbea1343a98ffc8a0fd49409,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/GP23-012346DH&E2023-11-30_14_08_54.tif,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/14ee81cb6f0f7215acb7792759cea6cae653714fbbea1343a98ffc8a0fd49409.tif
JP2K-33003-1,5dfeb8f3e95c09008d34d93d60a024b636a12ffeb48b8379b54b0a0b5b229066,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/JP2K-33003-1.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/5dfeb8f3e95c09008d34d93d60a024b636a12ffeb48b8379b54b0a0b5b229066.svs
JP2K-33003-2,34616d5e75a361daf4ddc310db6054aa3aed37b606a9cc1d9f2adb65e3b741ab,/Users/lawrencechen/fun/wsi-deidentifier/sample/identified/JP2K-33003-2.svs,/Users/lawrencechen/fun/wsi-deidentifier/sample/deidentified/34616d5e75a361daf4ddc310db6054aa3aed37b606a9cc1d9f2adb65e3b741ab.svs
